20150805	lastConnect	string
20150805	latency.btc.count	number
20150805	latency.btc.mean	number
20150805	latency.btc.median	number
20150805	latency.btc.variance	number
20150805	latency.icmp.count	number
20150805	latency.icmp.mean	number
20150805	latency.icmp.median	number
20150805	latency.icmp.variance	number
20150805	whois.asn_country_code	string
20150805	whois.asn	string
20150805	whois.name	null
20150805	whois.name	string
20150806	geo.lat	number
20150806	geo.long	number
20150806	ip.version	number
20150806	lastConnect	string
20150806	latency.btc.count	number
20150806	latency.btc.mean	number
20150806	latency.btc.median	number
20150806	latency.btc.variance	number
20150806	latency.icmp.count	number
20150806	latency.icmp.mean	number
20150806	latency.icmp.median	number
20150806	latency.icmp.variance	number
20150806	whois.asn_country_code	string
20150806	whois.asn	string
20150806	whois.name	null
20150806	whois.name	string
20150807	geo.lat	number
20150807	geo.long	number
20150807	ip.version	number
20150807	lastConnect	string
20150807	latency.btc.count	number
20150807	latency.btc.mean	number
20150807	latency.btc.median	number
20150807	latency.btc.variance	number
20150807	latency.icmp.count	number
20150807	latency.icmp.mean	number
20150807	latency.icmp.median	number
20150807	latency.icmp.variance	number
20150807	whois.asn_country_code	string
20150807	whois.asn	string
20150807	whois.name	null
20150807	whois.name	string
20150808	geo.lat	number
20150808	geo.long	number
20150808	ip.version	number
20150808	lastConnect	string
20150808	latency.btc.count	number
20150808	latency.btc.mean	number
20150808	latency.btc.median	number
20150808	latency.btc.variance	number
20150808	latency.icmp.count	number
20150808	latency.icmp.mean	number
20150808	latency.icmp.median	number
20150808	latency.icmp.variance	number
20150808	whois.asn_country_code	string
20150808	whois.asn	string
20150808	whois.name	null
20150808	whois.name	string
20150809	geo.lat	number
20150809	geo.long	number
20150809	ip.version	number
20150809	lastConnect	string
20150809	latency.btc.count	number
20150809	latency.btc.mean	number
20150809	latency.btc.median	number
20150809	latency.btc.variance	number
20150809	latency.icmp.count	number
20150809	latency.icmp.mean	number
20150809	latency.icmp.median	number
20150809	latency.icmp.variance	number
20150809	whois.asn_country_code	string
20150809	whois.asn	string
20150809	whois.name	null
20150809	whois.name	string
20150810	geo.lat	number
20150810	geo.long	number
20150810	ip.version	number
20150810	lastConnect	string
20150810	latency.btc.count	number
20150810	latency.btc.mean	number
20150810	latency.btc.median	number
20150810	latency.btc.variance	number
20150810	latency.icmp.count	number
20150810	latency.icmp.mean	number
20150810	latency.icmp.median	number
20150810	latency.icmp.variance	number
20150810	whois.asn_country_code	string
20150810	whois.asn	string
20150810	whois.name	null
20150810	whois.name	string
20150811	geo.lat	number
20150811	geo.long	number
20150811	ip.version	number
20150811	lastConnect	string
20150811	latency.btc.count	number
20150811	latency.btc.mean	number
20150811	latency.btc.median	number
20150811	latency.btc.variance	number
20150811	latency.icmp.count	number
20150811	latency.icmp.mean	number
20150811	latency.icmp.median	number
20150811	latency.icmp.variance	number
20150811	whois.asn_country_code	string
20150811	whois.asn	string
20150811	whois.name	null
20150811	whois.name	string
20150812	geo.lat	number
20150812	geo.long	number
20150812	ip.version	number
20150812	lastConnect	string
20150812	latency.btc.count	number
20150812	latency.btc.mean	number
20150812	latency.btc.median	number
20150812	latency.btc.variance	number
20150812	latency.icmp.count	number
20150812	latency.icmp.mean	number
20150812	latency.icmp.median	number
20150812	latency.icmp.variance	number
20150812	whois.asn_country_code	string
20150812	whois.asn	string
20150812	whois.name	null
20150812	whois.name	string
20150813	geo.lat	number
20150813	geo.long	number
20150813	ip.version	number
20150813	lastConnect	string
20150813	latency.btc.count	number
20150813	latency.btc.mean	number
20150813	latency.btc.median	number
20150813	latency.btc.variance	number
20150813	latency.icmp.count	number
20150813	latency.icmp.mean	number
20150813	latency.icmp.median	number
20150813	latency.icmp.variance	number
20150813	whois.asn_country_code	string
20150813	whois.asn	string
20150813	whois.name	null
20150813	whois.name	string
20150814	geo.lat	number
20150814	geo.long	number
20150814	ip.version	number
20150814	lastConnect	string
20150814	latency.btc.count	number
20150814	latency.btc.mean	number
20150814	latency.btc.median	number
20150814	latency.btc.variance	number
20150814	latency.icmp.count	number
20150814	latency.icmp.mean	number
20150814	latency.icmp.median	number
20150814	latency.icmp.variance	number
20150814	whois.asn_country_code	string
20150814	whois.asn	string
20150814	whois.name	null
20150814	whois.name	string
20150815	geo.lat	number
20150815	geo.long	number
20150815	ip.version	number
20150815	lastConnect	string
20150815	latency.btc.count	number
20150815	latency.btc.mean	number
20150815	latency.btc.median	number
20150815	latency.btc.variance	number
20150815	latency.icmp.count	number
20150815	latency.icmp.mean	number
20150815	latency.icmp.median	number
20150815	latency.icmp.variance	number
20150815	whois.asn_country_code	string
20150815	whois.asn	string
20150815	whois.name	null
20150815	whois.name	string
20150816	geo.lat	number
20150816	geo.long	number
20150816	ip.version	number
20150816	lastConnect	string
20150816	latency.btc.count	number
20150816	latency.btc.mean	number
20150816	latency.btc.median	number
20150816	latency.btc.variance	number
20150816	latency.icmp.count	number
20150816	latency.icmp.mean	number
20150816	latency.icmp.median	number
20150816	latency.icmp.variance	number
20150816	whois.asn_country_code	string
20150816	whois.asn	string
20150816	whois.name	null
20150816	whois.name	string
20150817	geo.lat	number
20150817	geo.long	number
20150817	ip.version	number
20150817	lastConnect	string
20150817	latency.btc.count	number
20150817	latency.btc.mean	number
20150817	latency.btc.median	number
20150817	latency.btc.variance	number
20150817	latency.icmp.count	number
20150817	latency.icmp.mean	number
20150817	latency.icmp.median	number
20150817	latency.icmp.variance	number
20150817	whois.asn_country_code	string
20150817	whois.asn	string
20150817	whois.name	null
20150817	whois.name	string
20150818	geo.lat	number
20150818	geo.long	number
20150818	ip.version	number
20150818	lastConnect	string
20150818	latency.btc.count	number
20150818	latency.btc.mean	number
20150818	latency.btc.median	number
20150818	latency.btc.variance	number
20150818	latency.icmp.count	number
20150818	latency.icmp.mean	number
20150818	latency.icmp.median	number
20150818	latency.icmp.variance	number
20150818	whois.asn_country_code	string
20150818	whois.asn	string
20150818	whois.name	null
20150818	whois.name	string
20150819	geo.lat	number
20150819	geo.long	number
20150819	ip.version	number
20150819	lastConnect	string
20150819	latency.btc.count	number
20150819	latency.btc.mean	number
20150819	latency.btc.median	number
20150819	latency.btc.variance	number
20150819	latency.icmp.count	number
20150819	latency.icmp.mean	number
20150819	latency.icmp.median	number
20150819	latency.icmp.variance	number
20150819	whois.asn_country_code	string
20150819	whois.asn	string
20150819	whois.name	null
20150819	whois.name	string
20150820	geo.lat	number
20150820	geo.long	number
20150820	ip.version	number
20150820	lastConnect	string
20150820	latency.btc.count	number
20150820	latency.btc.mean	number
20150820	latency.btc.median	number
20150820	latency.btc.variance	number
20150820	latency.icmp.count	number
20150820	latency.icmp.mean	number
20150820	latency.icmp.median	number
20150820	latency.icmp.variance	number
20150820	whois.asn_country_code	string
20150820	whois.asn	string
20150820	whois.name	null
20150820	whois.name	string
20150821	geo.lat	number
20150821	geo.long	number
20150821	ip.version	number
20150821	lastConnect	string
20150821	latency.btc.count	number
20150821	latency.btc.mean	number
20150821	latency.btc.median	number
20150821	latency.btc.variance	number
20150821	latency.icmp.count	number
20150821	latency.icmp.mean	number
20150821	latency.icmp.median	number
20150821	latency.icmp.variance	number
20150821	whois.asn_country_code	string
20150821	whois.asn	string
20150821	whois.name	null
20150821	whois.name	string
20150822	geo.lat	number
20150822	geo.long	number
20150822	ip.version	number
20150822	lastConnect	string
20150822	latency.btc.count	number
20150822	latency.btc.mean	number
20150822	latency.btc.median	number
20150822	latency.btc.variance	number
20150822	latency.icmp.count	number
20150822	latency.icmp.mean	number
20150822	latency.icmp.median	number
20150822	latency.icmp.variance	number
20150822	whois.asn_country_code	string
20150822	whois.asn	string
20150822	whois.name	null
20150822	whois.name	string
20150823	geo.lat	number
20150823	geo.long	number
20150823	ip.version	number
20150823	lastConnect	string
20150823	latency.btc.count	number
20150823	latency.btc.mean	number
20150823	latency.btc.median	number
20150823	latency.btc.variance	number
20150823	latency.icmp.count	number
20150823	latency.icmp.mean	number
20150823	latency.icmp.median	number
20150823	latency.icmp.variance	number
20150823	whois.asn_country_code	string
20150823	whois.asn	string
20150823	whois.name	null
20150823	whois.name	string
20150824	geo.lat	number
20150824	geo.long	number
20150824	ip.version	number
20150824	lastConnect	string
20150824	latency.btc.count	number
20150824	latency.btc.mean	number
20150824	latency.btc.median	number
20150824	latency.btc.variance	number
20150824	latency.icmp.count	number
20150824	latency.icmp.mean	number
20150824	latency.icmp.median	number
20150824	latency.icmp.variance	number
20150824	whois.asn_country_code	string
20150824	whois.asn	string
20150824	whois.name	null
20150824	whois.name	string
20150825	geo.lat	number
20150825	geo.long	number
20150825	ip.version	number
20150825	lastConnect	string
20150825	latency.btc.count	number
20150825	latency.btc.mean	number
20150825	latency.btc.median	number
20150825	latency.btc.variance	number
20150825	latency.icmp.count	number
20150825	latency.icmp.mean	number
20150825	latency.icmp.median	number
20150825	latency.icmp.variance	number
20150825	whois.asn_country_code	null
20150825	whois.asn_country_code	string
20150825	whois.asn	null
20150825	whois.asn	string
20150825	whois.name	null
20150825	whois.name	string
20150826	geo.lat	number
20150826	geo.long	number
20150826	ip.version	number
20150826	lastConnect	string
20150826	latency.btc.count	number
20150826	latency.btc.mean	number
20150826	latency.btc.median	number
20150826	latency.btc.variance	number
20150826	latency.icmp.count	number
20150826	latency.icmp.mean	number
20150826	latency.icmp.median	number
20150826	latency.icmp.variance	number
20150826	whois.asn_country_code	null
20150826	whois.asn_country_code	string
20150826	whois.asn	null
20150826	whois.asn	string
20150826	whois.name	null
20150826	whois.name	string
20150827	geo.lat	number
20150827	geo.long	number
20150827	ip.version	number
20150827	lastConnect	string
20150827	latency.btc.count	number
20150827	latency.btc.mean	number
20150827	latency.btc.median	number
20150827	latency.btc.variance	number
20150827	latency.icmp.count	number
20150827	latency.icmp.mean	number
20150827	latency.icmp.median	number
20150827	latency.icmp.variance	number
20150827	whois.asn_country_code	null
20150827	whois.asn_country_code	string
20150827	whois.asn	null
20150827	whois.asn	string
20150827	whois.name	null
20150827	whois.name	string
20150828	geo.lat	number
20150828	geo.long	number
20150828	ip.version	number
20150828	lastConnect	string
20150828	latency.btc.count	number
20150828	latency.btc.mean	number
20150828	latency.btc.median	number
20150828	latency.btc.variance	number
20150828	latency.icmp.count	number
20150828	latency.icmp.mean	number
20150828	latency.icmp.median	number
20150828	latency.icmp.variance	number
20150828	whois.asn_country_code	null
20150828	whois.asn_country_code	string
20150828	whois.asn	null
20150828	whois.asn	string
20150828	whois.name	null
20150828	whois.name	string
20150829	geo.lat	number
20150829	geo.long	number
20150829	ip.version	number
20150829	lastConnect	string
20150829	latency.btc.count	number
20150829	latency.btc.mean	number
